post_text,label
这几天只吃劳拉依然睡不好也早醒，今天想去附近药店看能不能开点助眠的中成药，那个营业员姐姐一看见我就说哇这么大的黑眼圈，肝肾肯定很不好，又看我的舌头又看我的手，我说我睡不好后她说我是不是那什么精神有问题（？），我说你怎么知道，她说我一看你就是太明显了（？），说吃西药不好让我用中药调，说这不仅仅是脑子的问题，和五脏六腑都有关。给了我一盒乌灵胶囊一盒枣仁安神胶囊，我刚刚库库吃了。没什么睡意，就是心情完全跌落谷底，心到了最低点，特别特别难受。啊好低落好压抑。,1
给大家看烟花🎆 希望大家每一天都能够开心❤️,0
我好像真的坏掉了，书籍、影视、音乐、旅行、美食、购物甚至和好友聊天，都无法让我快乐了，我好像真的对一切都麻木了，烟草酒精也没办法让我放松。我跟行尸走肉的区别就是现在我还得擦擦眼泪逼自己五分钟内睡觉明天要提着脑袋去工作。,1
"从学校到家了之后每天十一点睡觉，第二天八点起床，一天两到三顿饭，偶尔扫地洗碗，看番跟家人聊天。
感觉回家之后变好了，至少没有发生会让我情绪失控的事",0
是什么支撑着大家,0
真累，昨晚没睡好，梦见有人闯进我的房间，半睡半醒跟真实发生过一样,0
安慰了别人但是我自己过得一点都不如意,0
"我*******我甲流这么多天没吃过一顿正经饭
我今天终于有点胃口了
特别特别想吃一口牛肉面
但是吧就是身体各个部位就不太赞同主要不赞同下楼这件事
然后叮嘱我爸一定要牛肉面干拌加个蛋
他好好好的出去了
回来的时候…土豆丝拌面？？？？？
牛肉面就在楼底下…这个破面你还要过马路…又不让点外卖，存心隔应我是吧
还能指望你干啥（我的妈这句他从小说我今天终于说回去了）
太无语了
吃个屁喝口水接着睡",0
有一种痛苦是喝多少酒都无法麻醉的！,0
有宝宝知道广东学业水平考试成绩保留多久吗 我大概21年考了第一次四科 22年的两科缺考了 今年的报名了就在明天开考但是我感觉我可能还是不敢去进那个校门,0
"情绪不稳定的人应该滚出地球 like me
情绪越来越不受控 一点就着 抓狂起来好像变了一个人 发泄之后又巨他妈后悔自己为什么要那样 坏情绪伤害了身边的人然后又责怪自己 又生气…陷入一个死循环🥲",1
我这样的不是在活着 只是没死 专业课听不懂 学校也不是理想的 正常如果没有这些意外 我会是个不错大学的本科生 可是一切都发生了 我就是废物 我什么都不是啊 我没办法啊 每天都不顺心 烦心事一堆 每天头疼 焦虑不安的 我不想再去住院了 没做过的mect也不想做了 生病真的已经花了好多钱了 真的是对不起爸爸妈妈 对不起 之前和现在的一切,1
要是妈妈当初真的抱我跳河就好了,2
好想遏制住这种孤独的感觉，太难受了,0
大家吃米氮平胖了吗，我从 110到130。问医生是不是💊的事，她回答说增加食欲吃多会胖，可我吃的也不咋多，食欲一直不振，所以到底是不是药的问题啊真的感觉自己好肿,1
又发作了 将近十天其实精神都很稳定 今天坐在图书馆就开始难受想哭想死 我也不知道为什么会突然发作 学东西根本学不进去 老师完全没有划重点 同学们都考完了都回家了图书馆也没什么人 好想死,2
任何从头开始的事对我来说都很困难,0
偏头疼又犯了，疼死,0
今天抑郁症发作直接踹门想跳湖，越来越讨厌自己一天到晚什么都不做还对着自己亲人发脾气，但如果不是因为他们我不会变成这样，又恨他们又厌恶，希望有一天我能早点离开这个世界和这帮人。,2
如果你经历过大事，你现在所经历的琐碎就不是事了,0
我恨你们的区别对待。,0
新的一年，不用快乐，努力活着就很好了。在这里跟大家许下一个约定，我们2024都要努力的活着，谁也不许放弃哦。,0
妈妈说她累了，说马上高考了，自己想想吧,0
之前心慌 医生配了美托洛尔 吃了几天 医生说心率低于70就不要吃了 但是我没低到那个程度 刚刚又心慌了 测心率快120了 这个药要继续吃吗？,0
开开心心，快点度过这段孤独空虚迷茫的日子吧,0
好累好累好累哇……你们知道这种累是什么累,0
新年愿望：活下去,0
今天拍的日落 不管了先夸一下我自己 这叶子好像水墨画呀,0
被流浪猫抓了,0
新年快乐,0
恨不得原地消失，从来没出现过，把我的记忆抽了也行,1
"我真的不知道要怎么办…
白天很好，情绪没有任何问题，我已经坚持了五天了，每天站八个小时，我在努力的适应上班和陌生人接触，从最开始声音小的像蚊子一样，现在我音量终于大了那么一点了，刚上班的那一天，脚底板痛的要死，现在好的没之前那么痛了。我现在情绪特别崩溃，我真的我好想不去上班了。试用期十天才过一半，我又不行了，我不知道该怎么面对。我今天都没听清楚，店长说我明天几点来上班，我没听清楚，我下班的时候也没去问店长，我不知道明天是早班还是晚班，我真的不知道该怎么办？要是我不干了，我妈就要骂我，但是我没办法，我坚持不下去啊。我现在哭的稀里哗啦的，我也不知道突然的情绪就上来了，我剪指甲剪的好好的，剪着剪着就不想去上班了，我有时候都觉得我不是生病了，我只是单纯的懒，我就应该和我妈说的一样，就是懒病。我真的特别不适合跟人交流的工作，要是有一句话都不用和陌生人说，也不用站着的工作就好了。",0
有没有人试过一个叫wtl的睡眠药 那个怎么样 我想睡个好觉,0
这里面的药到底是吃哪个会觉多啊？,0
"到底。。。什么才是“正常的想法”
为什么我脑子里会出现这些乱七八糟的东西，为什么我会非常拒绝这些……什么是“正常”，什么又是“不正常”？",0
今天真的好生气 本来就不开心 看到自己喜欢的选手住地下室 真的会不舒服,0
想申请缓考了，理由是重度抑郁会通过吗，真的没办法考试,3
一动就晕，脱离现实感有点严重，最近还不想吃饭,0
有没有在大学期末的家人我好绝望看书记东西根本记不住，我好差劲,0
初中就抑郁休学了我的人生是不是完勾八蛋了，初一休到初二现在下个学期就是地生会考……,1
我快疯了,0
农村家庭，三线小城市户口，收入低属于贫困家庭，18岁一个月生活费1100包括吃穿，家人控制欲极强对外老好人对内严厉刻薄，甚至会帮着外人打压子女，到现在都没有一个人或者是和朋友出过门，离我妈视线远一点，她就大呼小叫，受霸凌也没有保护我反而受害者有罪论，没有感受到一点家的温暖，单纯老实内向笨嘴拙舌，被骗被伤害，给一颗假糖就把我骗得感激涕零付出了真心金钱和一年的时间精力，最后还落了个破窗效应黑羊效应、被伤害得支离破碎的下场,1
怎么办 我现在感觉自己有暴力倾向 总是幻想自己拿刀//（捅）！人的场景 还会想那种很吓人的东西吓自己 还特别想zc 不是因为难受就是觉得好玩我改怎么办 要不要去复诊啊,2
有没有学习 App 推荐呀,0
我讨厌这个世界。,1
复学后大家都是什么状态，马上要复学了，好害怕，天天晚上做梦梦见我在学校明年要高考了，可我感觉高中才刚开始,0
怎么熬过去的第一天现在就想逃出升天,0
烂透了的人生，我真的宁愿自己是个孤儿,1
在睡眠好转了半个月后，又开始失眠了……,0
好孤独,0
好难好难好难好难,0
真的觉得好累啊 看着身边的人 拥有好多朋友 结婚生子 好像自己什么都没有 连说话的人都没有 朋友也寥寥无几到互不联系 抑郁就活该没朋友 一个人吗,1
我爸就是……很典型的中年男人，前几年好歹往家里拿钱(虽然不多)，近几年全靠借款贷款撑着，一点活也不干，都是妈妈再干，有时候真想劝我妈不要和他在一起了干脆离婚吧，两千块的工资养你自己就够了自私的不要管我们的死活。但是她也不爱我……不是说不爱，但和弟弟对比起来分给我的爱还是少。我又认为既然你这么爱弟弟就留下来吧，早晚气出病来。有时候想跳，想拉着全家人一块跳。家庭实在是出大问题，他们也看不起我，认为我都是装的只是不想上学。,2
身体难受得很，但是新的工作日又要开始了，不能请假，大家都是怎么捱过去的呢？,0
"以往总是觉得自己活得很烂，然后不甘心
现在想法变了，烂就烂吧，烂有烂的活法",0
马上高考听力了，自从高二就没去过学校，日语也忘光了，听力搞成什么样真的不敢想，偶尔犹豫要不要休学，明年六月就别考了，可不和同龄人一起高考仿佛真的彻底成为废人了。好失败。,0
耳鸣难受,0
辽宁省内有推荐的医生吗，感觉之前看的医生不太靠谱,0
太痛了特别痛,0
好多天没去学校了，一直请假，不想去，不知道还有什么意义，感觉好累啊,1
冬至不会太寒冷 晚安,0
"准备 再一次 转到县城小学校去 再次尝试复学
可以成功吗",0
我以为我痊愈了 其实一旦接触到那个点 我依然还是很容易崩溃爆发 从来没有好过 只是我远离了它一段时间而已 一靠近 我还是老样子 罢了,0
"哭哭啦
还拴着自己不下坠的绳子只能在自己手里呀
没有人可以帮你呀",1
这两天，心情好低落😞,0
还是被胃疼吵醒的,0
内耗…好爽。彻底被打败了,0
思维明显迟缓好久了 什么都反应不过来 别人给你打招呼反应不过来,0
生活越来越糟糕了……连倾诉和抱怨的力气感觉都快没有了……好累啊好累啊,1
活着很膈应但一想到死后被更多人知道更恶心了…,1
什么时候才能放过我自己啊,1
为什么欺负过我的人反而过得很好 我却在深渊走不出来 越陷越深 我就该死哦,1
只有我自己才懂自己内心波动却表现的风轻云淡,0
是需要跟上系列的治疗……,0
"#柳絮落地了吗#
这是我的碎碎念tag！
其实我的笔名是小菠萝，地理老师看我发给她的帖子，还以为我的笔名是小柳絮哈哈哈哈哈
我用这个名字在抑郁症超话里活跃了这么久，可以说【小柳絮】是抑郁时的我。

那么我的追求是【落地】，作为柳絮，我也不想飘来卷去心无依傍
昨天和地理老师散步，虽然依然紧张，但我能感觉到，【落地】了。
今天也继续去办公室找她，每次在她那里，我都会想好好活着。
昨天很焦虑的时候有吞药的想法，不过我克服了，今天坚持。
加油小菠萝！加油柳絮！",2
很快就要跨年啦，可以给我留一些祝福吗也祝愿你们开心健康平安,0
被骂恶心了……,0
好想养猫啊，可是毕业了就要去医院工作，三班倒没有时间养，我上班不到一年就会忍不住跳楼吧，这个愿望永远实现不了了。,0
休学了好久了，没救了我,0
"我的父母
一个让我去死，一个让我杀了她
活也不想活，死也不能死
活着会伤害别人，死了也会伤害别人",2
新年快乐祝你们天天开心早日康复,0
一到冬天就他妈想死,2
我凭什么要在新年的第一天哭成狗,0
聊天的搭子有吗,0
生日快乐！祝昨天生日的朋友们生日快乐！祝和我一样今天生日的朋友们生日快乐！祝明天以及明天和明天以后生日的朋友们生日快乐！不知道怎么就混到了二十四岁了，希望还能平安无事的活到下一岁！能活一岁是一岁！加油！谢谢大家😘,0
好难过呀，看到几个正常人的微博，大家都在微博上发疯。但我甚至在微博上已经疯不起来了。,0
有没有石家庄的姐妹啊，真诚的想交一个好朋友，于我而言友情好像一直是比什么都重要，我可能没有病的很严重，所以想要这样来自愈，也想治愈你，也相信这个方法是可行的。（本人今年22岁，毕业工作半年了）希望遇到同样想法的姐妹，我们一起出去玩，一起聊天，成为彼此很好很好的朋友。🙏许愿,0
她是把我绑在这人间最牢固的锁链！,0
"你们都是怎么和家里人维系关系的，我觉得好难，好像怎么做都没办法让他们满意，你们都有家庭群吧，就自己一家人，我家5个。
最近的一次吵架（都称不上吵架，只能说是别扭）是月中的时候我计划出去玩两天，13号晚上我就出门去了青旅，去的路上我在群里报备了，然后到了青旅我也报备说到了。因为在青旅认识了两个姐妹，我们仨一起玩，第二天就顾着拍照打卡欣赏了，没顾的上发群里，而且我有个毛病就是看到了等会回或者意念回复就忘记回了，我承认是我的毛病，这真的很难改，有没有同样的同志
然后第三天15号我就收拾准备回上班的地方了，大早上我妈打电话给我，一通质问，说我没交代，好好上班的出去玩什么，我说我交代了，让她看聊天记录，结果确实有，她没话了，我还分享了别的给他们，她就说她忙没看到。我不否认我在玩，可是为什么为什么为什么火大了，特别大的火，无名火。就说不管我了，然后还发消息说我
最主要的是她退群了！群里4个人了…我知道玩大了，打电话也不接
可能是我真的很不懂事吧，我没有继续哄她，每天上班
大弟刚刚给我打了电话，说教了我一顿，我没有反驳，没有意义，你说人是人是人，你说人是狗是狗，我没有辩解，没有反驳
他说他很忙，为了这个家针对我们每个人做出的改变也很多，但他不知道，他盛气凌人居高临下的样子让我一点都不觉得亲近。我和他从小打到大，今年突然就对我特别好，我真觉得邪门，我也不奢求他对我好，就奢求别惹我就行。我躲得起。
他说希望我为这个家的家庭和睦作出改变而不是他让我作出改变，听听这绕口令给我玩呢，我改变不得一点。这个家五个人基本都是五个想法，如果不是爸妈尚在，我们仨指不定都不行走了，谁看谁不爽，谁也不服谁。
让我好语气的和爸妈讲话，不要等他们离开了才知道后悔，我可太知道了，就是因为知道对他们好，我才说话一直控制呢，哄着他们，特别是老妈，给她零花钱，我赚钱不多可我还是想着她。那她呢
我都是死过一次的人了，谁对我好，我就对谁好。
小弟虽然年龄小但承受的最多，他都快受不住了，谁又真的关心过他，只觉得他啥也不管，他管什么呢，他自己都快熬不下去了，真的有人好好的了解过他吗
是我们有病吗，心里难过的人才更在乎别人的感受吧，真的是我的错吗，我生日没人记得，我自己庆祝也不行吗，我真的没有交代吗，那不是没人搭理我吗，为什么一定什么都是我的错，那死掉好了",2
我失去了秩序。总感觉很累变得懒了很多，连刷牙洗脸都不想干,0
天天这样晚上醒着 白天睡着 ～ 我会不会猝死,0
真的很心累，过几天要语文会考了，练习阅读是一分也拿不到，自己的语文也没那么糟糕，要过不了，字是一个都看不进去，大家也是这样的吗,0
骗你的 新的一年我开心不了,0
我为什么如此热爱群像友谊？大概是我始终孤身一人，并为自己搭了一座高墙,0
真好，又挺过了一年,0
到底要怎么办啊真的不想去考试。一直在哭。。给妈妈打电话她让我不要老逃避考试。。可是我真的没有。。这几次考试我都去了，，只是这次真的不知道为什么特别难过不想去,0
给大家看松鼠🐿️ 去年在杭州工作的时候拍的 杭州·西湖风景名胜区,0
东恩没有父母支持是一边打工一边学习的，好难呀，我能做到吗，东恩呐给我力量吧。,0
间接性想谈恋爱，我不知道怎么了想谈恋爱了，但是又怕维护关系，可能真的很难爱上一个人吧，虽然还没谈过恋爱，可能我这种人不配有人爱我吧,0
"状态好的时候，觉得，每天整活儿哄自己乐呵，犬儒一点也能勉强活下去。

状态差的时候发现，整活儿，首先得有能量。而不是先整活儿把自己逗开心了，以图获得能量。

没有能量整什么活儿。铜丝自己都抬不起胳膊。",0
今日开心也是猫猫给的,0
为什么所有的苦难都发生在我身上。,1
我什么都知道 可是什么都改变不了,0
胃疼得像被人拿哈士奇霸凌过,0
大脑空白了，他们说没了我整个家会灭亡，其实我一点感觉都没有,0
这场混沌的黑暗，快结束吧。。,0
有人知道这是什么药吗,0
怎么忍或缓解躯体化啊 我真的要被折磨死了,1
无数个睡不着的夜晚，我坐起来跟自己聊天，很温柔的，拜托自己放下一些东西。,0
夜班可真难熬呀,0
被骂了一天，从早上6:50开始，一直被骂到现在,0
控制不住自己的脾气，怕伤害到家人，所以自己一个人带着耳机下楼，听着手机收藏的音乐🎵，让自己慢慢静下来。各位宝贝们，天冷了注意身体健康，穿暖和。,0
我现在属于请长假在家，高考还是会正常去。我爸妈既希望我能找个兼职，别一直在家，又希望我能多看书，到时候好好考.....,0
"所以我是废物对不对 对我就是
好痛苦好想离开我真的好累好辛苦我什么也不会专业的事也做不好所以算了吧放过我好不好放我走好孤独",1
失眠说说话的有吗，新的一年不该又是糟糕的一年。,0
好想si，想去住一段时间院，目前真的看到楼梯口就想一跃而下的程度了,2
浑身难受，胡思乱想。,0
什么时候能好，被突如其来的糟糕情绪弄怕了，只要我积极喝药，积极治疗就会好是吗，真的好累,1
kuku掉头发,0
大家有什么推荐的切药器吗,0
有没有在武汉的病友,0
新的一年不想再修行了，那些渺小的微不足道的事情已经可以让我痛苦上很久很久了,1
本po专门用于大家的情绪发泄，如果不好意思发在公共场合讲话，可以把我当垃圾箱，如果不需要我回复说完以后发个1就可以。,0
好想被爱,0
男朋友谈了和没谈差不多，只有想睡我的时候才会想起我，该不该结束呢,0
那你呢又是因为什么人认识我的,0
再艰难难熬也要过掉才能往下走,0
有没有人的新年愿望是希望我快乐一点，如果没有，那你快乐也行,0
"#抑郁症#
住院7天了，我买了彩纸，分享给大家，我折了
折棒棒糖🍭
折花花🌸
੭ ᐕ)੭*⁾⁾
彩色的花花💐
枫叶🍁
四叶草🍀
还有星星⭐",0
昨天去复查 中度抑郁中度焦虑 还有一点点精神问题 最近浑身没力气什么都干不了只想睡觉 感觉好难过,2
我爸今晚骂的的时候，我没啥感觉，可当我爸朋友说了一句你儿子真懂事的时候，直接破防了,0
我最近小日子过得不错，不知各位可好？,0
麻木 累了 不知道每天在干嘛 做事毫无目的 感觉自己不属于这个世界,1
好烦啊明天又要做心理咨询了,0
家人们你们服用大量药物会不会身体里面痒然后控制不住的抽搐啊，这是什么情况,0
小时候性格太内向不爱和人打招呼，长大后一种不愿意改变，怕引来他人目光的恐惧一直在心里。在家人的语言打击下一天比一天脆弱，越来越封闭自己，直到刚刚又被姥姥骂六亲不认，真的没想到她直接这么形容我。这段时间精神衰弱严重，心脏疼心慌气短，听到一点突然发出的动静就害怕尖叫，不知道还能撑多久，太累了,1
最近。,0
"看看我的小红豆，他代替着红豆陪在我身边～
红豆和小红豆都是妈妈的小宝贝
红豆是三花妹妹，于2023年4月17日因麻醉过敏去世",0
"想看仙侠言情小说
有点害怕父母不同意",0
怎样才克服对失眠的恐惧啊,0
不敢再熬夜了，头好痛啊,0
我想出去玩，可是为什么抑郁症从下半年考研到现在复发了，钱又给了医院，腿软，买的不开心,1
一直很担心自己体弱多病的会被嫌弃一直在想会不会给男朋友丢脸很没面子。不过好像是我想多了他倒是特别喜欢在朋友面前炫耀起我,0
早安亲爱的，今天你也超级可爱哦,0
我服了 抑郁症活该被当成一种拖累嘛,1
"生理上的不适一定会加重抑郁吗？因为好像每一个人在身体不舒服的时候心情都会不好。
但是，每次生病（生理上），我都会有强烈的自伤甚至死亡的念头。
2021年12月31号，我记得，我也是像现在这样，感冒发烧请假在家。那是我第一次拿刀划伤自己。
不过那时候我还没确诊呢。

这几天我一直在“喊”

【放过我】
【救救我】

（大家还是不要太多地伤害自己。记得消毒。）",3
热搜里娱乐化抑郁症的人真令人恶心,0
有没有还在坚持的啊迫于生活学业学历，抑郁症对于只不过是虚无漂渺，发作时又是怎样，句句心量小就轻描淡写。中度抑郁的我还在坚持啊，面对一次选择我说了想上，填了表，失败了颜面扫失，可想而知 有一系列后果都摆放了,2
我觉得我在家里待着也很。刚刚外婆说我现在正是努力的时候。哈哈我不知道。我,0
好烦啊,0
之前被逼着答应了去上学，可我真的做不到，该怎么给老师说啊,0
好自卑。。。看到那些一米七几一百多斤的人就好自卑 我为什么这么胖这么丑。。。,0
当你的至亲都讽刺你 说你的抑郁症都是懒惰得的 各种各样话语打击你 甚至关键时候特别现实 残忍 你会怎么样？ 其实原生家庭太缺温暖 我们反而更应该要肆无忌惮做自己啊,1
想问一下大家 我一直都没有接受过连续的（由同一位医生）治疗 一直是断断续续去门诊 做了很多测试 也一直在吃药 状态时好时坏 情绪不稳定 感觉很嗜睡 一天24小时能睡18个小时甚至不止 江浙沪这边有什么比较好的医院或者医生推荐吗很想快点好起来,1
"感觉很多事情，焦虑也没用，一天天的总给自己制定计划，纯粹自找没趣。读书时想考多少分，工作时又想挣多少钱，一天到晚比来比去，最后人生还是自己过自己的。缺啥补啥，想要什么就去做，得失由命，计划可以制定，但结果不是人能制定的。得到是好事，没有多想想自己拥有的，说不定自己所拥有的是别人这么努力都得不到的。

人生并不是一无所有，我这么烂的人竟然还会思考会打字，又何尝不是一种幸运。",0
一焦虑就喜欢买买买吃吃吃，然后花多了钱又开始自责焦虑😟,0
不想让你们知道，不想让你们担心，我一边哭一边打出没事，三生有幸我能有你们这些好朋友，如果我能早点离开的话，请为我感到高兴！,2
就是不开心🙁开心不了难受为什么,0
我能说是因为梦想的执着毁了我又救了我吗，北京真的是我的一场梦。,0
我想问他们喜不喜欢和我做朋友，但又怕他们觉得我矫情，我好难过，孤单的时候连一个说话的人都没有,0
被造谣污蔑气的手抖 司马崽你最好别让我抓到,0
"原已许久没有自伤
感谢为我的产生提供精子的碳基生物",3
"mad有些时候我觉得这个世界或者这个命运都好搞笑啊。小学的时候真情实感是“长大以后相当心理医生”甚至小学课间就买心理学的书来看，后来因为高中物理太差跟理科绝缘也跟心理医生绝缘了。小学非主流时期还把自己QQ 网名改成弗洛西丁的英文单词。现在长大了她娘的真得抑郁症叻痛苦得要死。
好搞笑了一切都又搞笑又心酸的。",1
好难受 晚安,0
精神类药品真的好恐怖 吃出肥胖 高血脂 高胆固醇 高尿酸…… 好想停药 但是停不了 只有我自己知道 停药必定复发,0
鲁拉+拉莫三嗪+劳拉…我不敢吃前两个啊啊啊听说副作用大,1
"有没有人跟我一样？
从小到大，没有怎么说过话的亲戚朋友，跟我很热络的聊天，就是聊我爸我妈我哥负面的事情，小时候就是希望我不学他们，现在我长大了工作了就希望我管教一下他们。不温暖的家庭长大，我的亲情观念也不太重视，也不重视什么情感。
而我工作刚出来一两年，是我经济最困难的时候，我爸妈没工作帮不了我，但是，我哥也没有帮助我多少，我也没有说一定要他帮。但是，面对要我给我哥买房买车的世俗言语：
我的价值观是：
1.父母养大我，我感恩，也会扶养他们到老；
2.我哥，他是成年人，自己的行为自己负责；我不该倾尽全力给他所有，只能是有余力帮一把而已。

原生家庭的压抑令我受尽了所有痛苦，最近一年才开始慢慢自信了",1
我觉得有时候我也挺轴的，比如我为了治愈我自己，我考下来一个心理咨询师证，然后我被点醒了很多次，慢慢的找到了如何配合心理医生治疗的方向，也能用一些专业的知识去帮一些病友一起走出来，嗯，果然知识就是力量啊。,0
"昨晚十二点多睡觉
早醒4：27 8：27 半上午睡到中午12：08
每次醒来都是做噩梦哭醒的 睡个觉哭醒了三次
😭醒来哭着睡着 睡着了再哭醒抑郁症",0
明明这次都好好的我获得了男神的拍立得和球球，为什么要让我弄丢球球我真的很宝贵它果然什么都干不好,0
新年倒计时，真希望是生命倒计时！！！我就是个错误,2
又闯过了一关！心里充满了感恩,0
十年啦。,0
集中不了注意力怎么办,0
我现在好无助好难过 也好想不通……,0
话说，我不相信有天堂。因为如果紫砂的话，我不想下地狱。,2
"去年的这个时候，我说每天都发一条。这一年我做到了。
这一年，我时常感叹生活原来这么美好。有时还会笑曾经的自己。
明天开始，我不再来了。
最后，再发一次。
愿所有的人都越来越好。",0
其实我清楚的知道宿舍或什么地方公共多人 嘈杂声我真的会崩 我清楚没权利更没什么义务 每天都听说 就很烦 放的一直是相同的 大叔声音 少女 小说听短剧 好烦啊真 我喜欢安静环境啊我想要轻松点 下学期换宿舍 不管谁 没权利干涉别人 嫌乱只能自己承受,0
睡眠障碍，好想有人陪着我熬夜聊天,0
"今天去复诊了
医生：要不要考虑住院调理一下？
我：emmm～先不了吧。
医生：今天谁陪你过来的？
我：自己过来的。
医生：这种情况最好还是要有家属陪同。
医生：你要不要做心理治疗，有300块和500块都是30分钟。
我：我要做多少次？
医生：你估计做个十次吧！也是要看你的悟性，理解，调节。
我：还是...先吃药看看情况吧...",0
大家有没有好的方法预防复发呢，最近睡眠特别差半夜常常醒，也总失眠。每天都想哭,0
每次闲下来就会难过,0
好烦写周记，比直接给我命题还要难写，真实地记下了你的生活，放眼望去每周都很普通啊,0
梦到和一个女孩子谈恋爱 那种被人爱的感觉太好了 她反反复复说了好几遍她的名字我都没听清 如果这不是梦就好了,0
一点药不吃，一宿兴奋抑郁症,0
好看的皮囊千篇一律，有趣的肚皮弹来弹去😋,0
我真崩溃了 失眠好不容易睡着了 结果醒了很困好困但是咳嗽很厉害根本睡不了。。。。要考试,0
想逃离学校 逃离这个世界 遇到问题我只会逃跑把自己锁在一个不透光的房间里 每周都请假 现在在家里像个罪人一样 我活着好没意义 想尽一切办法来请假,1
情绪失控，暴饮暴食，然后疯狂长痘,0
摔完，捡起来，割完，擦干净，我悲哀的一生,3
"我最近精神恐惧严重了，预约不到心理治疗，精神科主治医生也不听说话
我也不知道怎么了，好难受
自从考研结束整个人都不好了",0
睡不着 困得有点恶心 9点要出门 下午5点才能回来 不知道吃啥 不知道在一个地方4小时不挪地能做什么 好难受 还有好朋友要来我家 我房间还没收拾 我23 号还要去深圳 好多事 好烦,0
哦。,0
今天好丧,0
美好的周末当然要宅家睡觉喽其他都不重要,0
期末发疯,0
为什么你们能这么开心快乐，可我好难过，本来心情还可以的。接到学校放假通知，我就开始难过起来。我休学了一个学期，后面今年要回去继续跟读。我完全不知道之前学的知识。我接受不了自己的成绩跌到最底下。他们都说不重要，不重要，但是他们看的比谁都重要，在那里叫我随便学。好了，现在如你们所愿了，把成绩放在最前面了，现在让我随便选，不用担心你让我怎么不担心？我现在都接受不了自己的成绩往下跌。,0
点了外卖吃了，为什么很恶心，还想哭呢，本来是期待的，吃了又觉得不好吃，想吐，又怕胖回来，前几天太难过掉了八九斤，现在又长回来两三斤(◞‸◟)唉呀只有我这样吗……,0
"来自又一个惊恐发作的夜晚，颤抖着，激动着，疯狂写就的剖白：

很喜欢这种绝望的感觉。

濒临崩溃，草木皆兵，每一丝响动，每一句话语，都能让心脏好像被狠狠捏了一把，从心底泛出想死的渴望，激动的浑身颤抖，压抑心中想把周围人都杀掉的感觉。

带着痛苦，面对亲朋的担忧勉强咧开嘴，没心没肺的笑脸，和一声无法压抑从胸腔脱口而出的，轻轻的“好绝望啊”。

乐于受伤，但不主动自伤。对于意外受伤古井无波，甚至可以说是喜闻乐见。我并不想伤害周遭的人，相反，乐见于他们的幸福且乐于迁就。

我乐见自身痛苦的斑驳，皱眉不过是对于伤口不便的苦恼。我向来肆意而行，也深知后果之重，但乐于承其伤痛，化之为内心的修行。

总之，不将失去与伤口看做痛苦，将意义加诸其上，便为修行。

抛弃主观情感，对痛苦与自我的认知与感应，如若只有我自己能做到，那我自身就是实验品。

观察自己，探索自己，为何我会如此，而渐渐演变为如果我这么做。逐渐与众人所行所思背离，背弃了从众性而我行我素，我被称之为怪人，也并无问题。

探索的过程比融入溪流有趣多了，探索的我全然不近人情。

我是思维的信徒。

“智者立于火焰之侧，圣徒活在火焰之中。”

疯狂之举不过是我的又一次探险，我在名为自我的黑洞中畅游。

但侮辱性质、他人所为的不必要伤口与痛苦，仇敌所为，必会奉还；亲友所为，便默然承受，忍无可忍，便再远离。我乐以善待众生，即便诸苦加身。

我乐于解剖自己，为什么？颤抖的身躯，胸口压抑不由自主的大口喘气，我希望成为风，成为空。钢筋铸就的城市，我是污水池觅食的野狗，希望成为水中城市的倒影。",1
玩梗的都司马了吧,0
今天听别人从别人传听到宿舍都传，冷脸，脾气不好…甚至更多标签，融入不进就不融了,0
